price,volume,time,buyorsell,marketorlimit,misc,unixtime
34.17000,0.03725000,2014-01-13 11:33:34,b,l,,1389630814.05
34.17000,0.00075000,2014-01-13 11:33:50,s,l,,1389630830.37
34.15500,0.13925000,2014-01-13 11:33:50,s,l,,1389630830.38
34.15500,0.14000000,2014-01-13 11:34:17,s,l,,1389630857.26
34.54000,0.05165431,2014-01-13 11:44:17,b,l,,1389631457.64
34.21000,0.50000000,2014-01-13 11:44:54,s,l,,1389631494.78
34.25000,0.01500000,2014-01-13 11:57:57,s,l,,1389632277.82
34.25000,0.02393000,2014-01-13 11:57:59,s,l,,1389632279.88
34.26000,0.10000000,2014-01-13 12:10:05,s,m,,1389633005.0
34.26000,0.10000000,2014-01-13 12:10:41,s,m,,1389633041.63
34.26000,0.10000000,2014-01-13 12:11:09,s,m,,1389633069.82
34.26000,0.10000000,2014-01-13 12:11:53,s,m,,1389633113.51
34.26000,0.07000000,2014-01-13 12:12:38,s,m,,1389633158.32
34.54000,0.11580775,2014-01-13 12:14:31,b,l,,1389633271.94
34.26000,0.01500000,2014-01-13 12:16:49,s,l,,1389633409.13
34.26000,0.01500000,2014-01-13 12:17:28,s,l,,1389633448.85
34.26000,0.13500000,2014-01-13 12:18:25,s,l,,1389633505.05
34.26000,0.10000000,2014-01-13 12:29:09,s,m,,1389634149.41
34.54000,0.04797000,2014-01-13 12:33:39,b,l,,1389634419.91
34.36000,0.05821000,2014-01-13 12:47:34,b,l,,1389635254.89
34.36000,0.00079000,2014-01-13 12:47:43,s,l,,1389635263.31
34.36000,0.05622000,2014-01-13 12:53:59,b,l,,1389635639.69
34.36000,0.05000000,2014-01-13 12:54:04,s,l,,1389635644.22
34.36000,0.00578000,2014-01-13 12:56:51,s,l,,1389635811.52
34.26000,0.05855000,2014-01-13 12:58:06,s,l,,1389635886.74
34.30000,0.01000000,2014-01-13 13:02:26,s,m,,1389636146.06
34.30000,0.07500000,2014-01-13 13:11:57,s,l,,1389636717.51
34.30000,0.06077259,2014-01-13 13:11:57,s,l,,1389636717.68
34.26000,0.15000000,2014-01-13 13:17:13,s,l,,1389637033.76
34.26000,0.16996000,2014-01-13 13:17:14,s,l,,1389637034.84
34.26000,0.01999000,2014-01-13 13:17:20,s,l,,1389637040.32
34.26000,0.01500000,2014-01-13 13:17:27,s,l,,1389637047.57
34.26000,0.01500000,2014-01-13 13:26:44,s,l,,1389637604.22
34.26000,0.01454000,2014-01-13 13:26:46,s,l,,1389637606.2
34.26000,0.23000000,2014-01-13 13:28:56,s,l,,1389637736.86
34.26000,0.01830000,2014-01-13 13:28:58,s,l,,1389637738.92
34.26000,0.23000000,2014-01-13 13:29:11,s,l,,1389637751.29
34.26000,0.07000000,2014-01-13 13:29:28,s,l,,1389637768.19
34.26000,0.01263000,2014-01-13 13:29:36,s,l,,1389637776.01
34.26000,0.01265000,2014-01-13 13:30:04,s,l,,1389637804.26
34.31000,0.06307117,2014-01-13 13:34:22,b,l,,1389638062.75
34.34999,0.18195000,2014-01-13 13:37:39,s,l,,1389638259.41
34.26000,0.01459000,2014-01-13 13:38:59,s,l,,1389638339.26
34.26000,0.41000000,2014-01-13 14:03:40,s,l,,1389639820.08
34.26000,0.00423321,2014-01-13 14:03:42,s,l,,1389639822.03
34.25000,0.04866131,2014-01-13 14:03:53,s,l,,1389639833.57
34.25000,0.12633869,2014-01-13 14:03:53,s,l,,1389639833.58
34.25000,0.09500000,2014-01-13 14:04:33,s,l,,1389639873.96
34.26000,0.19522679,2014-01-13 14:04:35,b,l,,1389639875.14
34.54000,0.17371163,2014-01-13 14:30:45,b,l,,1389641445.71
34.54000,0.09074000,2014-01-13 14:36:05,b,m,,1389641765.74
34.54000,0.00723624,2014-01-13 14:38:12,b,m,,1389641892.39
34.25500,0.18870000,2014-01-13 14:39:15,s,m,,1389641955.46
34.54000,0.05211000,2014-01-13 14:40:25,b,l,,1389642025.57
34.25500,0.03500000,2014-01-13 15:32:50,s,l,,1389645170.13
34.25500,0.03500000,2014-01-13 15:36:07,s,l,,1389645367.65
34.25500,0.01396000,2014-01-13 15:42:03,s,l,,1389645723.22
34.25500,0.03000000,2014-01-13 16:01:53,s,l,,1389646913.68
34.25500,0.03500000,2014-01-13 16:05:52,s,l,,1389647152.78
34.34000,0.01396000,2014-01-13 16:06:19,b,l,,1389647179.43
34.40000,0.03500000,2014-01-13 16:06:36,s,l,,1389647196.84
34.40000,0.03696656,2014-01-13 16:06:46,s,l,,1389647206.7
34.40000,0.03690000,2014-01-13 16:06:47,s,l,,1389647207.61
34.40000,0.01500000,2014-01-13 16:06:50,s,l,,1389647210.37
34.40000,0.13000000,2014-01-13 16:07:37,s,l,,1389647257.18
34.40000,0.18810000,2014-01-13 16:07:38,s,l,,1389647258.05
34.40000,0.42000000,2014-01-13 16:13:23,s,l,,1389647603.05
34.40000,0.00399651,2014-01-13 16:16:16,s,l,,1389647776.23
34.40000,0.19946000,2014-01-13 16:16:20,s,l,,1389647780.44
34.40000,0.14599000,2014-01-13 16:16:36,s,l,,1389647796.47
34.40000,0.08802000,2014-01-13 16:16:52,s,l,,1389647812.99
34.40000,0.08802000,2014-01-13 16:17:04,s,l,,1389647824.98
34.40000,0.04401000,2014-01-13 16:17:11,s,l,,1389647831.46
34.40000,0.07027000,2014-01-13 16:17:17,s,l,,1389647837.2
34.40000,0.10829000,2014-01-13 16:17:38,s,l,,1389647858.09
34.40000,0.11010000,2014-01-13 16:17:58,s,l,,1389647878.95
34.40000,0.10152000,2014-01-13 16:18:14,s,l,,1389647894.97
34.40000,0.01647000,2014-01-13 16:18:21,s,l,,1389647901.18
34.40000,0.11500000,2014-01-13 16:18:26,s,l,,1389647906.1
34.40000,0.17717000,2014-01-13 16:23:20,s,l,,1389648200.26
34.40000,0.15125000,2014-01-13 16:23:25,s,l,,1389648205.8
34.42000,0.15125000,2014-01-13 16:24:51,b,l,,1389648291.52
34.40000,0.10000000,2014-01-13 16:25:44,s,m,,1389648344.77
34.40000,0.04371075,2014-01-13 16:26:26,s,l,,1389648386.7
34.40000,0.39000000,2014-01-13 16:31:49,s,m,,1389648709.93
34.40000,2.00000000,2014-01-13 16:38:23,s,l,,1389649103.3
34.54000,0.05511000,2014-01-13 16:42:27,b,l,,1389649347.85
34.40000,0.40914622,2014-01-13 16:43:05,s,m,,1389649385.31
34.25500,0.87477637,2014-01-13 16:43:05,s,m,,1389649385.32
34.25500,0.00607741,2014-01-13 16:43:05,s,m,,1389649385.34
34.25500,0.10000000,2014-01-13 16:46:31,s,m,,1389649591.68
34.25500,2.61534724,2014-01-13 16:46:59,s,l,,1389649619.53
